age_group,total_customers,total_purchases,total_spend,avg_spend,top_brands,delivery_ratio,price_sensitivity_dist
25-34,296,296,5571.4,18.82,"瑞幸咖啡(113), 星巴克(49), Nowwa 挪瓦咖啡(34)",70.95,"{'Medium': 193, 'High': 78, 'Low': 25}"
35-44,272,272,5211.4,19.16,"瑞幸咖啡(108), 星巴克(41), Nowwa 挪瓦咖啡(30)",63.97,"{'Medium': 172, 'High': 59, 'Low': 41}"
45-54,142,142,2638.1,18.58,"瑞幸咖啡(66), 星巴克(19), 永璞咖啡(14)",71.13,"{'Medium': 78, 'High': 53, 'Low': 11}"
65+,116,116,2418.8,20.85,"瑞幸咖啡(48), 星巴克(15), Nowwa 挪瓦咖啡(12)",17.24,"{'High': 90, 'Medium': 24, 'Low': 2}"
55-64,96,96,1812.4,18.88,"瑞幸咖啡(48), 星巴克(12), Nowwa 挪瓦咖啡(8)",39.58,"{'High': 52, 'Medium': 41, 'Low': 3}"
18-24,78,78,1366.5,17.52,"瑞幸咖啡(32), 星巴克(13), Manner Coffee(13)",94.87,"{'High': 56, 'Medium': 19, 'Low': 3}"
